,date,home-team,vis-team,win-team,lose-team,season,null
9,9/8/85,NEP,GBP,NEP,GBP,1985,0
2,9/8/85,LVR,NYJ,LVR,NYJ,1985,0
3,9/8/85,LAR,DEN,LAR,DEN,1985,0
4,9/8/85,BUF,LAC,LAC,BUF,1985,0
5,9/8/85,NYG,PHL,NYG,PHL,1985,0
6,9/8/85,MIN,SFF,MIN,SFF,1985,0
7,9/8/85,TEN,MIA,TEN,MIA,1985,0
8,9/8/85,NOS,KCC,KCC,NOS,1985,0
14,9/8/85,ATL,DET,DET,ATL,1985,0
10,9/8/85,PIT,IND,PIT,IND,1985,0
11,9/8/85,CLE,ARZ,ARZ,CLE,1985,0
12,9/8/85,CIN,SEA,SEA,CIN,1985,0
13,9/8/85,CHI,TBB,CHI,TBB,1985,0
1,9/9/85,DAL,WSH,DAL,WSH,1985,0
0,9/12/85,KCC,LVR,KCC,LVR,1985,0
57,9/15/85,LAC,SEA,SEA,LAC,1985,0
58,9/15/85,TBB,MIN,MIN,TBB,1985,0
60,9/15/85,DEN,NOS,DEN,NOS,1985,0
61,9/15/85,SFF,ATL,SFF,ATL,1985,0
62,9/15/85,PHL,LAR,LAR,PHL,1985,0
59,9/15/85,GBP,NYG,GBP,NYG,1985,0
64,9/15/85,DET,DAL,DET,DAL,1985,0
65,9/15/85,MIA,IND,MIA,IND,1985,0
66,9/15/85,ARZ,CIN,ARZ,CIN,1985,0
67,9/15/85,CHI,NEP,CHI,NEP,1985,0
68,9/15/85,NYJ,BUF,NYJ,BUF,1985,0
63,9/15/85,WSH,TEN,WSH,TEN,1985,0
56,9/16/85,CLE,PIT,CLE,PIT,1985,0
55,9/19/85,MIN,CHI,CHI,MIN,1985,0
43,9/22/85,LVR,SFF,SFF,LVR,1985,0
44,9/22/85,MIA,KCC,MIA,KCC,1985,0
45,9/22/85,GBP,NYJ,NYJ,GBP,1985,0
46,9/22/85,WSH,PHL,PHL,WSH,1985,0
47,9/22/85,PIT,TEN,PIT,TEN,1985,0
48,9/22/85,NOS,TBB,NOS,TBB,1985,0
49,9/22/85,NYG,ARZ,NYG,ARZ,1985,0
51,9/22/85,DAL,CLE,DAL,CLE,1985,0
52,9/22/85,CIN,LAC,LAC,CIN,1985,0
53,9/22/85,BUF,NEP,NEP,BUF,1985,0
54,9/22/85,ATL,DEN,DEN,ATL,1985,0
50,9/22/85,IND,DET,IND,DET,1985,0
42,9/23/85,SEA,LAR,LAR,SEA,1985,0
36,9/29/85,KCC,SEA,KCC,SEA,1985,0
41,9/29/85,BUF,MIN,MIN,BUF,1985,0
40,9/29/85,CHI,WSH,CHI,WSH,1985,0
39,9/29/85,ARZ,GBP,ARZ,GBP,1985,0
38,9/29/85,TEN,DAL,DAL,TEN,1985,0
37,9/29/85,DET,TBB,DET,TBB,1985,0
35,9/29/85,NEP,LVR,LVR,NEP,1985,0
32,9/29/85,LAC,CLE,CLE,LAC,1985,0
33,9/29/85,LAR,ATL,LAR,ATL,1985,0
34,9/29/85,PHL,NYG,NYG,PHL,1985,0
31,9/29/85,NYJ,IND,NYJ,IND,1985,0
30,9/29/85,DEN,MIA,MIA,DEN,1985,0
29,9/29/85,SFF,NOS,NOS,SFF,1985,0
28,9/30/85,PIT,CIN,CIN,PIT,1985,0
15,10/6/85,NYG,DAL,DAL,NYG,1985,0
16,10/6/85,SEA,LAC,SEA,LAC,1985,0
17,10/6/85,LAR,MIN,LAR,MIN,1985,0
18,10/6/85,LVR,KCC,LVR,KCC,1985,0
19,10/6/85,DEN,TEN,DEN,TEN,1985,0
20,10/6/85,CIN,NYJ,NYJ,CIN,1985,0
21,10/6/85,NOS,PHL,NOS,PHL,1985,0
22,10/6/85,MIA,PIT,MIA,PIT,1985,0
23,10/6/85,GBP,DET,GBP,DET,1985,0
24,10/6/85,CLE,NEP,CLE,NEP,1985,0
25,10/6/85,TBB,CHI,CHI,TBB,1985,0
26,10/6/85,IND,BUF,IND,BUF,1985,0
27,10/6/85,ATL,SFF,SFF,ATL,1985,0
14,10/7/85,WSH,ARZ,WSH,ARZ,1985,0
2,10/13/85,LAC,KCC,LAC,KCC,1985,0
3,10/13/85,SFF,CHI,CHI,SFF,1985,0
1,10/13/85,LVR,NOS,LVR,NOS,1985,0
4,10/13/85,SEA,ATL,SEA,ATL,1985,0
5,10/13/85,TBB,LAR,LAR,TBB,1985,0
6,10/13/85,GBP,MIN,GBP,MIN,1985,0
11,10/13/85,TEN,CLE,CLE,TEN,1985,0
8,10/13/85,DAL,PIT,DAL,PIT,1985,0
9,10/13/85,PHL,ARZ,PHL,ARZ,1985,0
10,10/13/85,IND,DEN,DEN,IND,1985,0
12,10/13/85,CIN,NYG,CIN,NYG,1985,0
13,10/13/85,NEP,BUF,NEP,BUF,1985,0
7,10/13/85,WSH,DET,WSH,DET,1985,0
0,10/14/85,NYJ,MIA,NYJ,MIA,1985,0
45,10/20/85,DEN,SEA,DEN,SEA,1985,0
46,10/20/85,NYG,WSH,NYG,WSH,1985,0
47,10/20/85,MIN,LAC,MIN,LAC,1985,0
48,10/20/85,KCC,LAR,LAR,KCC,1985,0
49,10/20/85,DET,SFF,DET,SFF,1985,0
53,10/20/85,TEN,CIN,TEN,CIN,1985,0
51,10/20/85,PIT,ARZ,PIT,ARZ,1985,0
54,10/20/85,BUF,IND,BUF,IND,1985,0
55,10/20/85,ATL,NOS,ATL,NOS,1985,0
44,10/20/85,MIA,TBB,MIA,TBB,1985,0
50,10/20/85,PHL,DAL,PHL,DAL,1985,0
43,10/20/85,NEP,NYJ,NEP,NYJ,1985,0
52,10/20/85,CLE,LVR,LVR,CLE,1985,0
42,10/21/85,CHI,GBP,CHI,GBP,1985,0
30,10/27/85,NOS,NYG,NYG,NOS,1985,0
41,10/27/85,DAL,ATL,DAL,ATL,1985,0
40,10/27/85,PHL,BUF,PHL,BUF,1985,0
39,10/27/85,CHI,MIN,CHI,MIN,1985,0
38,10/27/85,CLE,WSH,WSH,CLE,1985,0
37,10/27/85,IND,GBP,IND,GBP,1985,0
36,10/27/85,ARZ,TEN,TEN,ARZ,1985,0
35,10/27/85,KCC,DEN,DEN,KCC,1985,0
34,10/27/85,DET,MIA,DET,MIA,1985,0
33,10/27/85,TBB,NEP,NEP,TBB,1985,0
32,10/27/85,NYJ,SEA,NYJ,SEA,1985,0
31,10/27/85,CIN,PIT,CIN,PIT,1985,0
29,10/27/85,LAR,SFF,SFF,LAR,1985,0
28,10/28/85,LVR,LAC,LVR,LAC,1985,0
26,11/3/85,BUF,CIN,CIN,BUF,1985,0
25,11/3/85,GBP,CHI,CHI,GBP,1985,0
24,11/3/85,PIT,CLE,PIT,CLE,1985,0
23,11/3/85,MIN,DET,MIN,DET,1985,0
22,11/3/85,TEN,KCC,TEN,KCC,1985,0
21,11/3/85,NEP,MIA,NEP,MIA,1985,0
20,11/3/85,NYG,TBB,NYG,TBB,1985,0
19,11/3/85,IND,NYJ,NYJ,IND,1985,0
18,11/3/85,LAC,DEN,LAC,DEN,1985,0
17,11/3/85,LAR,NOS,LAR,NOS,1985,0
16,11/3/85,SFF,PHL,SFF,PHL,1985,0
15,11/3/85,SEA,LVR,SEA,LVR,1985,0
27,11/3/85,ATL,WSH,WSH,ATL,1985,0
14,11/4/85,ARZ,DAL,ARZ,DAL,1985,0
3,11/10/85,WSH,DAL,DAL,WSH,1985,0
2,11/10/85,MIA,NYJ,MIA,NYJ,1985,0
13,11/10/85,PHL,ATL,PHL,ATL,1985,0
12,11/10/85,BUF,TEN,BUF,TEN,1985,0
4,11/10/85,NYG,LAR,NYG,LAR,1985,0
1,11/10/85,LAC,LVR,LAC,LVR,1985,0
5,11/10/85,NOS,SEA,SEA,NOS,1985,0
7,11/10/85,MIN,GBP,GBP,MIN,1985,0
8,11/10/85,TBB,ARZ,TBB,ARZ,1985,0
11,11/10/85,CHI,DET,CHI,DET,1985,0
9,11/10/85,NEP,IND,NEP,IND,1985,0
10,11/10/85,CIN,CLE,CIN,CLE,1985,0
6,11/10/85,KCC,PIT,PIT,KCC,1985,0
0,11/11/85,DEN,SFF,DEN,SFF,1985,0
58,11/17/85,DET,MIN,DET,MIN,1985,0
56,11/17/85,SEA,NEP,NEP,SEA,1985,0
57,11/17/85,SFF,KCC,SFF,KCC,1985,0
59,11/17/85,DEN,LAC,DEN,LAC,1985,0
60,11/17/85,LVR,CIN,LVR,CIN,1985,0
61,11/17/85,TEN,PIT,PIT,TEN,1985,0
62,11/17/85,NYJ,TBB,NYJ,TBB,1985,0
63,11/17/85,GBP,NOS,GBP,NOS,1985,0
64,11/17/85,ARZ,PHL,PHL,ARZ,1985,0
65,11/17/85,IND,MIA,MIA,IND,1985,0
66,11/17/85,DAL,CHI,CHI,DAL,1985,0
67,11/17/85,CLE,BUF,CLE,BUF,1985,0
68,11/17/85,ATL,LAR,ATL,LAR,1985,0
55,11/18/85,WSH,NYG,WSH,NYG,1985,0
45,11/24/85,ARZ,NYG,NYG,ARZ,1985,0
46,11/24/85,KCC,IND,KCC,IND,1985,0
47,11/24/85,PIT,WSH,WSH,PIT,1985,0
48,11/24/85,TEN,LAC,TEN,LAC,1985,0
43,11/24/85,LVR,DEN,LVR,DEN,1985,0
50,11/24/85,MIN,NOS,NOS,MIN,1985,0
51,11/24/85,TBB,DET,TBB,DET,1985,0
52,11/24/85,CLE,CIN,CLE,CIN,1985,0
53,11/24/85,BUF,MIA,MIA,BUF,1985,0
54,11/24/85,CHI,ATL,CHI,ATL,1985,0
49,11/24/85,NYJ,NEP,NYJ,NEP,1985,0
42,11/24/85,LAR,GBP,LAR,GBP,1985,0
44,11/24/85,DAL,PHL,DAL,PHL,1985,0
41,11/25/85,SFF,SEA,SFF,SEA,1985,0
39,11/28/85,DAL,ARZ,DAL,ARZ,1985,0
40,11/28/85,DET,NYJ,DET,NYJ,1985,0
36,12/1/85,IND,NEP,NEP,IND,1985,0
28,12/1/85,WSH,SFF,SFF,WSH,1985,0
29,12/1/85,SEA,KCC,SEA,KCC,1985,0
30,12/1/85,LAC,BUF,LAC,BUF,1985,0
31,12/1/85,ATL,LVR,LVR,ATL,1985,0
32,12/1/85,NOS,LAR,NOS,LAR,1985,0
33,12/1/85,PHL,MIN,MIN,PHL,1985,0
34,12/1/85,GBP,TBB,GBP,TBB,1985,0
35,12/1/85,PIT,DEN,DEN,PIT,1985,0
37,12/1/85,NYG,CLE,CLE,NYG,1985,0
38,12/1/85,CIN,TEN,CIN,TEN,1985,0
27,12/2/85,MIA,CHI,MIA,CHI,1985,0
15,12/8/85,TEN,NYG,NYG,TEN,1985,0
16,12/8/85,MIN,TBB,MIN,TBB,1985,0
17,12/8/85,DEN,LVR,LVR,DEN,1985,0
18,12/8/85,SEA,CLE,SEA,CLE,1985,0
19,12/8/85,PHL,WSH,WSH,PHL,1985,0
14,12/8/85,LAC,PIT,LAC,PIT,1985,0
21,12/8/85,NEP,DET,NEP,DET,1985,0
20,12/8/85,GBP,MIA,MIA,GBP,1985,0
25,12/8/85,BUF,NYJ,NYJ,BUF,1985,0
26,12/8/85,KCC,ATL,KCC,ATL,1985,0
23,12/8/85,CIN,DAL,CIN,DAL,1985,0
24,12/8/85,CHI,IND,CHI,IND,1985,0
22,12/8/85,ARZ,NOS,ARZ,NOS,1985,0
13,12/9/85,SFF,LAR,LAR,SFF,1985,0
12,12/14/85,NYJ,CHI,CHI,NYJ,1985,0
11,12/14/85,DEN,KCC,DEN,KCC,1985,0
0,12/15/85,LVR,SEA,LVR,SEA,1985,0
1,12/15/85,LAC,PHL,LAC,PHL,1985,0
3,12/15/85,NOS,SFF,SFF,NOS,1985,0
5,12/15/85,DAL,NYG,DAL,NYG,1985,0
2,12/15/85,LAR,ARZ,LAR,ARZ,1985,0
7,12/15/85,CLE,TEN,CLE,TEN,1985,0
6,12/15/85,TBB,IND,IND,TBB,1985,0
10,12/15/85,ATL,MIN,ATL,MIN,1985,0
4,12/15/85,DET,GBP,GBP,DET,1985,0
8,12/15/85,WSH,CIN,WSH,CIN,1985,0
9,12/15/85,PIT,BUF,PIT,BUF,1985,0
22,12/16/85,MIA,NEP,MIA,NEP,1985,0
21,12/20/85,SEA,DEN,DEN,SEA,1985,0
20,12/21/85,NYG,PIT,NYG,PIT,1985,0
19,12/21/85,ARZ,WSH,WSH,ARZ,1985,0
12,12/22/85,KCC,LAC,KCC,LAC,1985,0
18,12/22/85,NOS,ATL,ATL,NOS,1985,0
17,12/22/85,MIA,BUF,MIA,BUF,1985,0
16,12/22/85,DET,CHI,CHI,DET,1985,0
15,12/22/85,NEP,CIN,NEP,CIN,1985,0
14,12/22/85,NYJ,CLE,NYJ,CLE,1985,0
13,12/22/85,TBB,GBP,GBP,TBB,1985,0
10,12/22/85,IND,TEN,IND,TEN,1985,0
9,12/22/85,SFF,DAL,SFF,DAL,1985,0
11,12/22/85,MIN,PHL,PHL,MIN,1985,0
8,12/23/85,LAR,LVR,LVR,LAR,1985,0
7,12/28/85,NYJ,NEP,NEP,NYJ,1985,0
6,12/29/85,NYG,SFF,NYG,SFF,1985,0
5,1/4/86,MIA,CLE,MIA,CLE,1985,0
4,1/4/86,LAR,DAL,LAR,DAL,1985,0
3,1/5/86,CHI,NYG,CHI,NYG,1985,0
2,1/5/86,LVR,NEP,NEP,LVR,1985,0
0,1/12/86,MIA,NEP,NEP,MIA,1985,0
1,1/12/86,CHI,LAR,CHI,LAR,1985,0
0,1/26/86,CHI,NEP,CHI,NEP,1985,0
14,9/7/86,NOS,ATL,ATL,NOS,1986,0
12,9/7/86,ARZ,LAR,LAR,ARZ,1986,0
11,9/7/86,MIN,DET,DET,MIN,1986,0
10,9/7/86,GBP,TEN,TEN,GBP,1986,0
9,9/7/86,WSH,PHL,WSH,PHL,1986,0
8,9/7/86,TBB,SFF,SFF,TBB,1986,0
7,9/7/86,BUF,NYJ,NYJ,BUF,1986,0
13,9/7/86,CHI,CLE,CHI,CLE,1986,0
5,9/7/86,NEP,IND,NEP,IND,1986,0
4,9/7/86,DEN,LVR,DEN,LVR,1986,0
3,9/7/86,LAC,MIA,LAC,MIA,1986,0
2,9/7/86,SEA,PIT,SEA,PIT,1986,0
6,9/7/86,KCC,CIN,KCC,CIN,1986,0
1,9/8/86,DAL,NYG,DAL,NYG,1986,0
0,9/11/86,NYJ,NEP,NEP,NYJ,1986,0
57,9/14/86,LAR,SFF,LAR,SFF,1986,0
58,9/14/86,TBB,MIN,MIN,TBB,1986,0
59,9/14/86,SEA,KCC,SEA,KCC,1986,0
61,9/14/86,WSH,LVR,WSH,LVR,1986,0
62,9/14/86,NYG,LAC,NYG,LAC,1986,0
60,9/14/86,MIA,IND,MIA,IND,1986,0
64,9/14/86,DET,DAL,DAL,DET,1986,0
65,9/14/86,TEN,CLE,CLE,TEN,1986,0
66,9/14/86,CHI,PHL,CHI,PHL,1986,0
67,9/14/86,CIN,BUF,CIN,BUF,1986,0
68,9/14/86,ATL,ARZ,ATL,ARZ,1986,0
63,9/14/86,NOS,GBP,NOS,GBP,1986,0
56,9/15/86,PIT,DEN,DEN,PIT,1986,0
55,9/18/86,CLE,CIN,CIN,CLE,1986,0
45,9/21/86,SFF,NOS,SFF,NOS,1986,0
46,9/21/86,KCC,TEN,KCC,TEN,1986,0
47,9/21/86,NEP,SEA,SEA,NEP,1986,0
48,9/21/86,MIN,PIT,MIN,PIT,1986,0
52,9/21/86,IND,LAR,LAR,IND,1986,0
50,9/21/86,DET,TBB,TBB,DET,1986,0
51,9/21/86,PHL,DEN,DEN,PHL,1986,0
54,9/21/86,DAL,ATL,ATL,DAL,1986,0
44,9/21/86,LVR,NYG,NYG,LVR,1986,0
49,9/21/86,NYJ,MIA,NYJ,MIA,1986,0
43,9/21/86,LAC,WSH,WSH,LAC,1986,0
53,9/21/86,BUF,ARZ,BUF,ARZ,1986,0
42,9/22/86,GBP,CHI,CHI,GBP,1986,0
40,9/28/86,CIN,CHI,CHI,CIN,1986,0
39,9/28/86,CLE,DET,CLE,DET,1986,0
38,9/28/86,MIN,GBP,MIN,GBP,1986,0
37,9/28/86,MIA,SFF,SFF,MIA,1986,0
35,9/28/86,TEN,PIT,PIT,TEN,1986,0
41,9/28/86,BUF,KCC,KCC,BUF,1986,0
36,9/28/86,NYG,NOS,NYG,NOS,1986,0
32,9/28/86,TBB,ATL,ATL,TBB,1986,0
31,9/28/86,IND,NYJ,NYJ,IND,1986,0
30,9/28/86,DEN,NEP,DEN,NEP,1986,0
29,9/28/86,LVR,LAC,LVR,LAC,1986,0
33,9/28/86,WSH,SEA,WSH,SEA,1986,0
34,9/28/86,PHL,LAR,PHL,LAR,1986,0
28,9/29/86,ARZ,DAL,DAL,ARZ,1986,0
16,10/5/86,DEN,DAL,DEN,DAL,1986,0
17,10/5/86,SFF,IND,SFF,IND,1986,0
26,10/5/86,CHI,MIN,CHI,MIN,1986,0
18,10/5/86,NYJ,BUF,NYJ,BUF,1986,0
25,10/5/86,GBP,CIN,CIN,GBP,1986,0
15,10/5/86,LAR,TBB,LAR,TBB,1986,0
19,10/5/86,NOS,WSH,WSH,NOS,1986,0
21,10/5/86,KCC,LVR,LVR,KCC,1986,0
22,10/5/86,DET,TEN,DET,TEN,1986,0
23,10/5/86,ARZ,NYG,NYG,ARZ,1986,0
24,10/5/86,PIT,CLE,CLE,PIT,1986,0
27,10/5/86,ATL,PHL,PHL,ATL,1986,0
20,10/5/86,NEP,MIA,NEP,MIA,1986,0
14,10/6/86,SEA,LAC,SEA,LAC,1986,0
2,10/12/86,NYG,PHL,NYG,PHL,1986,0
3,10/12/86,SFF,MIN,MIN,SFF,1986,0
4,10/12/86,LAC,DEN,DEN,LAC,1986,0
5,10/12/86,NEP,NYJ,NYJ,NEP,1986,0
6,10/12/86,GBP,DET,DET,GBP,1986,0
7,10/12/86,DAL,WSH,DAL,WSH,1986,0
10,10/12/86,CLE,KCC,CLE,KCC,1986,0
9,10/12/86,IND,NOS,NOS,IND,1986,0
11,10/12/86,TEN,CHI,CHI,TEN,1986,0
12,10/12/86,MIA,BUF,MIA,BUF,1986,0
13,10/12/86,ATL,LAR,ATL,LAR,1986,0
8,10/12/86,TBB,ARZ,ARZ,TBB,1986,0
1,10/12/86,LVR,SEA,LVR,SEA,1986,0
0,10/13/86,CIN,PIT,CIN,PIT,1986,0
55,10/19/86,ATL,SFF,SFF,ATL,1986,0
44,10/19/86,KCC,LAC,KCC,LAC,1986,0
45,10/19/86,LAR,DET,LAR,DET,1986,0
46,10/19/86,PIT,NEP,NEP,PIT,1986,0
47,10/19/86,NOS,TBB,NOS,TBB,1986,0
48,10/19/86,MIA,LVR,LVR,MIA,1986,0
43,10/19/86,SEA,NYG,SEA,NYG,1986,0
50,10/19/86,WSH,ARZ,WSH,ARZ,1986,0
51,10/19/86,CLE,GBP,GBP,CLE,1986,0
52,10/19/86,CIN,TEN,CIN,TEN,1986,0
53,10/19/86,MIN,CHI,MIN,CHI,1986,0
54,10/19/86,BUF,IND,BUF,IND,1986,0
49,10/19/86,PHL,DAL,DAL,PHL,1986,0
42,10/20/86,NYJ,DEN,NYJ,DEN,1986,0
31,10/26/86,LAR,ATL,LAR,ATL,1986,0
32,10/26/86,PHL,LAC,PHL,LAC,1986,0
33,10/26/86,TEN,LVR,LVR,TEN,1986,0
34,10/26/86,NYJ,NOS,NYJ,NOS,1986,0
38,10/26/86,MIN,CLE,CLE,MIN,1986,0
36,10/26/86,GBP,SFF,SFF,GBP,1986,0
37,10/26/86,IND,MIA,MIA,IND,1986,0
39,10/26/86,PIT,CIN,PIT,CIN,1986,0
30,10/26/86,DAL,ARZ,DAL,ARZ,1986,0
35,10/26/86,KCC,TBB,KCC,TBB,1986,0
29,10/26/86,DEN,SEA,DEN,SEA,1986,0
41,10/26/86,BUF,NEP,NEP,BUF,1986,0
40,10/26/86,CHI,DET,CHI,DET,1986,0
28,10/27/86,NYG,WSH,NYG,WSH,1986,0
26,11/2/86,TBB,BUF,TBB,BUF,1986,0
27,11/2/86,NEP,ATL,NEP,ATL,1986,0
24,11/2/86,IND,CLE,CLE,IND,1986,0
23,11/2/86,ARZ,PHL,ARZ,PHL,1986,0
22,11/2/86,NYG,DAL,NYG,DAL,1986,0
21,11/2/86,PIT,GBP,PIT,GBP,1986,0
19,11/2/86,NOS,SFF,NOS,SFF,1986,0
18,11/2/86,LVR,DEN,DEN,LVR,1986,0
17,11/2/86,LAC,KCC,KCC,LAC,1986,0
16,11/2/86,WSH,MIN,WSH,MIN,1986,0
15,11/2/86,SEA,NYJ,NYJ,SEA,1986,0
25,11/2/86,DET,CIN,CIN,DET,1986,0
20,11/2/86,MIA,TEN,MIA,TEN,1986,0
14,11/3/86,CHI,LAR,LAR,CHI,1986,0
12,11/9/86,BUF,PIT,BUF,PIT,1986,0
4,11/9/86,SFF,ARZ,SFF,ARZ,1986,0
11,11/9/86,TBB,CHI,CHI,TBB,1986,0
10,11/9/86,TEN,CIN,TEN,CIN,1986,0
9,11/9/86,IND,NEP,NEP,IND,1986,0
8,11/9/86,DET,MIN,MIN,DET,1986,0
7,11/9/86,GBP,WSH,WSH,GBP,1986,0
6,11/9/86,KCC,SEA,KCC,SEA,1986,0
5,11/9/86,NOS,LAR,NOS,LAR,1986,0
13,11/9/86,ATL,NYJ,NYJ,ATL,1986,0
3,11/9/86,DAL,LVR,LVR,DAL,1986,0
2,11/9/86,DEN,LAC,LAC,DEN,1986,0
1,11/9/86,PHL,NYG,NYG,PHL,1986,0
0,11/10/86,CLE,MIA,CLE,MIA,1986,0
59,11/16/86,LAC,DAL,DAL,LAC,1986,0
60,11/16/86,NYJ,IND,NYJ,IND,1986,0
61,11/16/86,LVR,CLE,LVR,CLE,1986,0
62,11/16/86,PIT,TEN,PIT,TEN,1986,0
63,11/16/86,MIN,NYG,NYG,MIN,1986,0
58,11/16/86,DEN,KCC,DEN,KCC,1986,0
69,11/16/86,ATL,CHI,CHI,ATL,1986,0
66,11/16/86,ARZ,NOS,NOS,ARZ,1986,0
67,11/16/86,CIN,SEA,CIN,SEA,1986,0
68,11/16/86,BUF,MIA,MIA,BUF,1986,0
64,11/16/86,GBP,TBB,GBP,TBB,1986,0
57,11/16/86,LAR,NEP,NEP,LAR,1986,0
65,11/16/86,PHL,DET,DET,PHL,1986,0
56,11/17/86,WSH,SFF,WSH,SFF,1986,0
55,11/20/86,LAC,LVR,LVR,LAC,1986,0
53,11/23/86,CHI,GBP,CHI,GBP,1986,0
43,11/23/86,SEA,PHL,SEA,PHL,1986,0
54,11/23/86,NEP,BUF,NEP,BUF,1986,0
46,11/23/86,ARZ,KCC,ARZ,KCC,1986,0
47,11/23/86,SFF,ATL,SFF,ATL,1986,0
44,11/23/86,LAR,NOS,LAR,NOS,1986,0
49,11/23/86,NYG,DEN,NYG,DEN,1986,0
50,11/23/86,TEN,IND,TEN,IND,1986,0
51,11/23/86,CLE,PIT,CLE,PIT,1986,0
52,11/23/86,CIN,MIN,CIN,MIN,1986,0
48,11/23/86,TBB,DET,DET,TBB,1986,0
45,11/23/86,WSH,DAL,WSH,DAL,1986,0
42,11/24/86,MIA,NYJ,MIA,NYJ,1986,0
41,11/27/86,DET,GBP,GBP,DET,1986,0
40,11/27/86,DAL,SEA,SEA,DAL,1986,0
35,11/30/86,ARZ,WSH,WSH,ARZ,1986,0
39,11/30/86,KCC,BUF,BUF,KCC,1986,0
38,11/30/86,CHI,PIT,CHI,PIT,1986,0
36,11/30/86,IND,LAC,LAC,IND,1986,0
37,11/30/86,CLE,TEN,CLE,TEN,1986,0
32,11/30/86,NYJ,LAR,LAR,NYJ,1986,0
33,11/30/86,NOS,NEP,NEP,NOS,1986,0
29,11/30/86,LVR,PHL,PHL,LVR,1986,0
34,11/30/86,MIN,TBB,MIN,TBB,1986,0
31,11/30/86,MIA,ATL,ATL,MIA,1986,0
30,11/30/86,DEN,CIN,DEN,CIN,1986,0
28,12/1/86,SFF,NYG,NYG,SFF,1986,0
21,12/7/86,PIT,DET,PIT,DET,1986,0
15,12/7/86,LAR,DAL,LAR,DAL,1986,0
16,12/7/86,LAC,TEN,LAC,TEN,1986,0
17,12/7/86,SFF,NYJ,SFF,NYJ,1986,0
18,12/7/86,WSH,NYG,NYG,WSH,1986,0
19,12/7/86,NOS,MIA,MIA,NOS,1986,0
23,12/7/86,PHL,ARZ,PHL,ARZ,1986,0
22,12/7/86,KCC,DEN,KCC,DEN,1986,0
24,12/7/86,NEP,CIN,CIN,NEP,1986,0
25,12/7/86,CHI,TBB,CHI,TBB,1986,0
26,12/7/86,BUF,CLE,CLE,BUF,1986,0
27,12/7/86,ATL,IND,IND,ATL,1986,0
20,12/7/86,GBP,MIN,MIN,GBP,1986,0
14,12/8/86,SEA,LVR,SEA,LVR,1986,0
12,12/13/86,DEN,WSH,DEN,WSH,1986,0
13,12/13/86,NYJ,PIT,PIT,NYJ,1986,0
1,12/14/86,LAC,SEA,SEA,LAC,1986,0
2,12/14/86,TEN,MIN,TEN,MIN,1986,0
3,12/14/86,LAR,MIA,MIA,LAR,1986,0
4,12/14/86,LVR,KCC,KCC,LVR,1986,0
5,12/14/86,NEP,SFF,SFF,NEP,1986,0
9,12/14/86,CIN,CLE,CLE,CIN,1986,0
7,12/14/86,DAL,PHL,PHL,DAL,1986,0
8,12/14/86,NYG,ARZ,NYG,ARZ,1986,0
10,12/14/86,IND,BUF,IND,BUF,1986,0
11,12/14/86,ATL,NOS,NOS,ATL,1986,0
6,12/14/86,TBB,GBP,GBP,TBB,1986,0
0,12/15/86,DET,CHI,CHI,DET,1986,0
21,12/19/86,SFF,LAR,SFF,LAR,1986,0
20,12/20/86,NYG,GBP,NYG,GBP,1986,0
19,12/20/86,SEA,DEN,SEA,DEN,1986,0
18,12/21/86,DET,ATL,ATL,DET,1986,0
17,12/21/86,TEN,BUF,TEN,BUF,1986,0
16,12/21/86,CIN,NYJ,CIN,NYJ,1986,0
15,12/21/86,CLE,LAC,CLE,LAC,1986,0
13,12/21/86,PIT,KCC,KCC,PIT,1986,0
12,12/21/86,MIN,NOS,MIN,NOS,1986,0
11,12/21/86,PHL,WSH,WSH,PHL,1986,0
14,12/21/86,ARZ,TBB,ARZ,TBB,1986,0
9,12/21/86,LVR,IND,IND,LVR,1986,0
10,12/21/86,DAL,CHI,CHI,DAL,1986,0
8,12/22/86,MIA,NEP,NEP,MIA,1986,0
7,12/28/86,NYJ,KCC,NYJ,KCC,1986,0
6,12/28/86,WSH,LAR,WSH,LAR,1986,0
5,1/3/87,CLE,NYJ,CLE,NYJ,1986,0
4,1/3/87,CHI,WSH,WSH,CHI,1986,0
3,1/4/87,NYG,SFF,NYG,SFF,1986,0
2,1/4/87,DEN,NEP,DEN,NEP,1986,0
1,1/11/87,CLE,DEN,DEN,CLE,1986,0
0,1/11/87,NYG,WSH,NYG,WSH,1986,0
0,1/25/87,DEN,NYG,NYG,DEN,1986,0
10,9/13/87,IND,CIN,CIN,IND,1987,0
7,9/13/87,MIN,DET,MIN,DET,1987,0
9,9/13/87,NOS,CLE,NOS,CLE,1987,0
8,9/13/87,ARZ,DAL,ARZ,DAL,1987,0
6,9/13/87,KCC,LAC,KCC,LAC,1987,0
0,9/13/87,GBP,LVR,LVR,GBP,1987,0
4,9/13/87,TEN,LAR,TEN,LAR,1987,0
3,9/13/87,WSH,PHL,WSH,PHL,1987,0
2,9/13/87,PIT,SFF,PIT,SFF,1987,0
1,9/13/87,DEN,SEA,DEN,SEA,1987,0
11,9/13/87,BUF,NYJ,NYJ,BUF,1987,0
5,9/13/87,NEP,MIA,NEP,MIA,1987,0
12,9/13/87,TBB,ATL,TBB,ATL,1987,0
42,9/14/87,CHI,NYG,CHI,NYG,1987,0
40,9/20/87,BUF,TEN,BUF,TEN,1987,0
