,season,date,home-team,home-lat,home-long,vis-team,vis-lat,vis-long,intl-flag,intl-lat,intl-long,travel team,distance (miles)
44,2007,2007-09-16,CAR,35.2140007,-80.94309998,HOU,29.64539909,-95.27890015,0,,,HOU,920.235969663804
45,2007,2007-09-16,PIT,40.49150085,-80.23290253,BUF,42.94049835,-78.73220062,0,,,BUF,185.97023732895278
46,2007,2007-09-10,SFF,37.61899948,-122.375,ARZ,33.43429947,-112.012001,0,,,ARZ,650.8712181012476
47,2007,2007-09-10,CIN,39.04880142,-84.6678009,BAL,39.17539978,-76.66829681,0,,,BAL,429.8596003630637
48,2007,2007-09-09,DAL,32.89680099,-97.03800201,NYG,40.77719879,-73.87259674,0,,,NYG,1388.807384805278
49,2007,2007-09-09,SEA,47.44900131,-122.3089981,TBB,27.97550011,-82.53320313,0,,,TBB,2520.098659254919
50,2007,2007-09-09,LVR,37.721298,-122.221001,DET,42.21239853,-83.35340118,0,,,DET,2068.309204625654
51,2007,2007-09-09,LAC,32.73360062,-117.1900024,CHI,41.97859955,-87.90480042,0,,,CHI,1723.0395989737456
52,2007,2007-09-09,HOU,29.64539909,-95.27890015,KCC,39.2976,-94.713898,0,,,KCC,666.101975055791
53,2007,2007-09-09,JAX,30.49410057,-81.68789673,TEN,36.12450027,-86.67819977,0,,,TEN,483.50972494921473
54,2007,2007-09-09,NYJ,40.77719879,-73.87259674,NEP,42.36429977,-71.00520325,0,,,NEP,184.58952459305408
55,2007,2007-09-09,CLE,41.4117012,-81.84980011,PIT,40.49150085,-80.23290253,0,,,PIT,105.76929934841492
56,2007,2007-09-09,WSH,38.8521,-77.037697,MIA,25.79319954,-80.29060364,0,,,MIA,919.5630054818822
57,2007,2007-09-09,GBP,44.48509979,-88.12960052,PHL,39.87189865,-75.2410965,0,,,PHL,733.1543122079474
58,2007,2007-09-09,BUF,42.94049835,-78.73220062,DEN,39.86169815,-104.6729965,0,,,DEN,1358.989577717402
59,2007,2007-09-09,MIN,44.88199997,-93.22180176,ATL,33.63669968,-84.42810059,0,,,ATL,906.5818557830436
60,2007,2007-09-09,LAR,38.748697,-90.370003,CAR,35.2140007,-80.94309998,0,,,CAR,575.2758607337948
61,2007,2007-09-06,IND,39.7173,-86.294403,NOS,29.99340057,-90.25800323,0,,,NOS,706.9193833062511
62,2007,2007-10-29,DEN,39.86169815,-104.6729965,GBP,44.48509979,-88.12960052,0,,,GBP,905.3231440501509
63,2007,2007-10-28,NEP,42.36429977,-71.00520325,WSH,38.8521,-77.037697,0,,,WSH,399.03394381084047
64,2007,2007-10-28,SFF,37.61899948,-122.375,NOS,29.99340057,-90.25800323,0,,,NOS,1910.689235712607
65,2007,2007-10-28,LAC,32.73360062,-117.1900024,HOU,29.64539909,-95.27890015,0,,,HOU,1312.5887358176653
66,2007,2007-10-28,TBB,27.97550011,-82.53320313,JAX,30.49410057,-81.68789673,0,,,JAX,180.82020587901798
67,2007,2007-10-28,NYJ,40.77719879,-73.87259674,BUF,42.94049835,-78.73220062,0,,,BUF,291.7436098287957
68,2007,2007-10-28,CHI,41.97859955,-87.90480042,DET,42.21239853,-83.35340118,0,,,DET,234.48793545204524
69,2007,2007-10-28,MIN,44.88199997,-93.22180176,PHL,39.87189865,-75.2410965,0,,,PHL,980.439106279444
70,2007,2007-10-28,MIA,25.79319954,-80.29060364,NYG,40.77719879,-73.87259674,X,51.47002,-0.454295,MIA,4425.245122274326
71,2007,2007-10-28,MIA,25.79319954,-80.29060364,NYG,40.77719879,-73.87259674,1,51.47002,-0.454295,NYG,3449.6901549456347
72,2007,2007-10-28,TEN,36.12450027,-86.67819977,LVR,37.721298,-122.221001,0,,,LVR,1959.1008232914967
73,2007,2007-10-28,CIN,39.04880142,-84.6678009,PIT,40.49150085,-80.23290253,0,,,PIT,256.1905928613449
74,2007,2007-10-28,CAR,35.2140007,-80.94309998,IND,39.7173,-86.294403,0,,,IND,427.59248968060285
75,2007,2007-10-28,LAR,38.748697,-90.370003,CLE,41.4117012,-81.84980011,0,,,CLE,487.23375076316347
76,2007,2007-10-22,JAX,30.49410057,-81.68789673,IND,39.7173,-86.294403,0,,,IND,687.0152063081475
77,2007,2007-10-21,DEN,39.86169815,-104.6729965,PIT,40.49150085,-80.23290253,0,,,PIT,1290.065838614969
78,2007,2007-10-21,SEA,47.44900131,-122.3089981,LAR,38.748697,-90.370003,0,,,LAR,1709.0727968426734
79,2007,2007-10-21,DAL,32.89680099,-97.03800201,MIN,44.88199997,-93.22180176,0,,,MIN,851.6934391059921
80,2007,2007-10-21,PHL,39.87189865,-75.2410965,CHI,41.97859955,-87.90480042,0,,,CHI,677.8647367226499
81,2007,2007-10-21,LVR,37.721298,-122.221001,KCC,39.2976,-94.713898,0,,,KCC,1489.0123603593547
82,2007,2007-10-21,CIN,39.04880142,-84.6678009,NYJ,40.77719879,-73.87259674,0,,,NYJ,585.3904568879163
83,2007,2007-10-21,NYG,40.77719879,-73.87259674,SFF,37.61899948,-122.375,0,,,SFF,2579.351490892883
84,2007,2007-10-21,NOS,29.99340057,-90.25800323,ATL,33.63669968,-84.42810059,0,,,ATL,424.9011950154432
85,2007,2007-10-21,DET,42.21239853,-83.35340118,TBB,27.97550011,-82.53320313,0,,,TBB,982.5427991091836
86,2007,2007-10-21,MIA,25.79319954,-80.29060364,NEP,42.36429977,-71.00520325,0,,,NEP,1258.286329895695
87,2007,2007-10-21,HOU,29.64539909,-95.27890015,TEN,36.12450027,-86.67819977,0,,,TEN,669.8453801965079
88,2007,2007-10-21,WSH,38.8521,-77.037697,ARZ,33.43429947,-112.012001,0,,,ARZ,1978.747102804218
89,2007,2007-10-21,BUF,42.94049835,-78.73220062,BAL,39.17539978,-76.66829681,0,,,BAL,281.26844054164883
90,2007,2007-10-15,ATL,33.63669968,-84.42810059,NYG,40.77719879,-73.87259674,0,,,NYG,761.5216496282839
91,2007,2007-10-14,SEA,47.44900131,-122.3089981,NOS,29.99340057,-90.25800323,0,,,NOS,2085.6550025328706
92,2007,2007-10-14,DAL,32.89680099,-97.03800201,NEP,42.36429977,-71.00520325,0,,,NEP,1561.726056188743
93,2007,2007-10-14,LAC,32.73360062,-117.1900024,LVR,37.721298,-122.221001,0,,,LVR,446.1738825822018
94,2007,2007-10-14,ARZ,33.43429947,-112.012001,CAR,35.2140007,-80.94309998,0,,,CAR,1773.7345491022052
